Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Planes,Avg_Percentage,Std_Percentage,Avg_Time,Std_Time,
0,0,600,99,50,34,99.82905982905983,0.536036687242927,0.9891950001399492,2.2583946956007352,
0,1,625,95,338,2,100.0,0.0,1.1129801948136575,1.5996853719315909,
0,2,577,97,120,38,100.0,0.0,2.3024827096706617,3.2910252555796533,
0,3,579,111,124,32,92.16524216524215,19.45824683160858,4.792237035393187,11.907231546984699,
0,4,589,79,102,33,97.44539411206077,1.4267630037130934,2.0783824665615267,7.146360372322141,
0,5,607,111,14,29,92.04653371320039,19.640569352624116,6.249327885675519,12.353164926039181,
0,6,613,117,116,42,83.37606837606837,29.071834754419786,8.885246541870725,16.24472193252432,
0,7,621,58,44,23,75.16619183285852,33.80050024038708,12.556216543952246,18.786437297872045,
0,8,579,131,119,41,60.26115859449193,40.76986896388001,19.792909589522537,20.64388672300127,
0,9,614,122,18,44,77.09876543209876,35.18835893118614,11.690240681233206,18.39042199413579,
0,10,604,78,22,8,96.81386514719848,1.4467555762487507,4.006706559316117,8.398068050597118,
0,11,625,54,39,27,68.90788224121557,37.44603536703881,15.127490038136019,20.17448835656934,
0,12,612,106,29,31,97.76828110161443,5.633038141611023,2.4804856593529774,6.854414916590689,
0,13,608,112,42,13,91.0778727445394,21.120170098698477,7.489646362093954,12.59395815064053,
0,14,596,47,44,10,54.48243114909781,40.66722293096786,21.029133537753044,21.950698524020375,
1,0,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
1,1,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
1,2,625,95,338,2,3,99.97625830959164,0.09846363415635191,1.6920045676457744,2.6058485286452386,
1,3,625,95,338,2,1,99.6011396011396,0.4389067429550358,4.215586716069377,5.968140226427252,
1,4,577,97,120,38,5,100.0,0.0,1.0565376837493612,2.0895108539273415,
1,5,619,75,37,19,5,96.00664767331433,3.8209047773089093,3.0175534337969103,8.874697771077408,
1,6,600,99,50,34,5,99.82905982905983,0.536036687242927,0.9891950001399492,2.2583946956007352,
1,7,577,97,120,38,2,100.0,0.0,2.3024827096706617,3.2910252555796533,
1,8,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
1,9,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
1,10,612,82,94,36,5,98.36657169990501,1.0918493414726824,1.8852116719438492,6.056407787061326,
1,11,612,106,29,31,3,97.76828110161443,5.633038141611023,2.4804856593529774,6.854414916590689,
1,12,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
1,13,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
1,14,577,97,120,38,2,100.0,0.0,2.3024827096706617,3.2910252555796533,
2,0,625,79,338,11,5,97.40265906932574,1.4168518890808928,2.4732986252178475,7.566575991686169,
2,1,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
2,2,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
2,3,583,95,338,50,5,99.96676163342829,0.10993197438547249,1.319243292062749,2.1347557780098927,
2,4,625,97,120,38,5,99.94301994301995,0.17867889574764095,1.173788112345369,2.4419388215210067,
2,5,577,95,338,2,5,100.0,0.0,1.6184139720548438,2.3754509537072495,
2,6,577,95,338,2,5,100.0,0.0,1.6184139720548438,2.3754509537072495,
2,7,625,97,78,38,5,99.94301994301995,0.17867889574764095,1.2331727185654864,2.543275200872448,
2,8,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
2,9,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
2,10,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
2,11,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
2,12,577,97,120,38,5,100.0,0.0,1.0565376837493612,2.0895108539273415,
2,13,609,97,69,38,5,99.94301994301995,0.17867889574764095,0.9034816378570028,1.694928146717017,
2,14,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
3,0,577,95,338,2,5,100.0,0.0,1.6184139720548438,2.3754509537072495,
3,1,625,97,120,38,5,99.94301994301995,0.17867889574764095,1.173788112345369,2.4419388215210067,
3,2,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
3,3,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
3,4,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
3,5,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
3,6,598,97,22,38,3,99.61063627730296,0.4602704963362823,3.686762745250664,7.729935973831191,
3,7,577,97,120,38,5,100.0,0.0,1.0565376837493612,2.0895108539273415,
3,8,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
3,9,577,97,120,38,5,100.0,0.0,1.0565376837493612,2.0895108539273415,
3,10,625,97,338,38,5,99.94301994301995,0.17867889574764095,1.2407224317505416,2.589456965877435,
3,11,577,95,120,2,5,100.0,0.0,1.6245032357255726,2.4557784567554184,
3,12,590,68,338,2,5,89.12630579297245,20.344653341920708,5.918778719676211,13.718094106619436,
3,13,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
3,14,625,72,338,2,4,93.17188983855651,11.300681520338111,4.224767720863922,11.143204150026838,
4,0,577,97,168,38,3,100.0,0.0,1.7797702004918696,2.9967695024381364,
4,1,577,97,120,38,5,100.0,0.0,1.0565376837493612,2.0895108539273415,
4,2,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
4,3,625,111,130,45,5,92.28869895536562,19.10533465075464,4.253528190744791,11.850711491312875,
4,4,625,97,120,33,5,99.94301994301995,0.17867889574764095,0.8968946994835814,1.68793078923396,
4,5,623,95,93,34,5,100.0,0.0,1.216414588596283,1.969787687315272,
4,6,625,97,120,38,5,99.94301994301995,0.17867889574764095,1.173788112345369,2.4419388215210067,
4,7,577,95,338,2,5,100.0,0.0,1.6184139720548438,2.3754509537072495,
4,8,585,55,93,31,5,69.93827160493827,37.33057938409748,13.976737585385786,20.355311067052803,
4,9,625,97,120,22,1,99.68660968660969,0.44805797196905783,4.021663850657386,5.5667486172097576,
4,10,625,74,144,11,4,95.23741690408357,5.644525854895083,3.539520108871702,9.711309616607574,
4,11,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
4,12,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
4,13,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
4,14,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
5,0,577,97,120,38,5,100.0,0.0,1.0565376837493612,2.0895108539273415,
5,1,625,95,338,2,5,100.0,0.0,1.1129801948136575,1.5996853719315909,
5,2,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
5,3,613,47,93,34,2,54.41120607787274,40.48542705377258,21.370608245864545,21.70684951965907,
5,4,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
5,5,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
5,6,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
5,7,625,95,93,37,5,100.0,0.0,1.283977564552335,1.9091602386187267,
5,8,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
5,9,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
5,10,624,95,93,19,5,99.41120607787276,0.9135338482530447,2.9013076155145825,7.358339361885058,
5,11,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
5,12,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
5,13,625,66,93,33,4,86.88034188034187,22.191080524328175,6.6706309357452644,14.943881338035936,
5,14,625,95,93,33,5,100.0,0.0,0.9211903571824047,1.445835318451696,
